CURIE	Label	Parent	Definition	Definition's database cross reference	Equivalent class	Comment	Comment's database cross reference	editors note	exact synonym	broad synonym	narrow synonym	related synonym	in subset	creation date	created by	contributor
ELMO:3620109	Temperate pyric sclerophyll forests and woodlands	ELMO:3620208		https://global-ecosystems.org/explore/groups/T2.6					T2.6 Temperate pyric sclerophyll forests and woodlands							
ELMO:3620110	Seasonally dry tropical shrublands	ELMO:3620209		https://global-ecosystems.org/explore/groups/T3.1					T3.1 Seasonally dry tropical shrublands							
ELMO:3620111	Seasonally dry temperate heaths and shrublands	ELMO:3620209		https://global-ecosystems.org/explore/groups/T3.2					T3.2 Seasonally dry temperate heaths and shrublands							
ELMO:3620112	Cool temperate heathlands	ELMO:3620209		https://global-ecosystems.org/explore/groups/T3.3					T3.3 Cool temperate heathlands							
ELMO:3620113	Young rocky pavements, screes and lava flows	ELMO:3620209		https://global-ecosystems.org/explore/groups/T3.4					T3.4 Young rocky pavements, screes and lava flows							
ELMO:3620114	Trophic savannas	ELMO:3620210		https://global-ecosystems.org/explore/groups/T4.1					T4.1 Trophic savannas							
ELMO:3620115	Pyric tussock savannas	ELMO:3620210		https://global-ecosystems.org/explore/groups/T4.2					T4.2 Pyric tussock savannas							
ELMO:3620116	Hummock savannas	ELMO:3620210		https://global-ecosystems.org/explore/groups/T4.3					T4.3 Hummock savannas							
ELMO:3620117	Temperate woodlands	ELMO:3620210		https://global-ecosystems.org/explore/groups/T4.4					T4.4 Temperate woodlands							
ELMO:3620118	Temperate subhumid grasslands	ELMO:3620210		https://global-ecosystems.org/explore/groups/T4.5					T4.5 Temperate subhumid grasslands							
ELMO:3620119	Semi-desert steppe	ELMO:3620211		https://global-ecosystems.org/explore/groups/T5.1					T5.1 Semi-desert steppe							
ELMO:3620120	Succulent or thorny deserts and semi-deserts	ELMO:3620211		https://global-ecosystems.org/explore/groups/T5.2					T5.2 Succulent or thorny deserts and semi-deserts							
ELMO:3620121	Sclerophyll hot deserts and semi-deserts	ELMO:3620211		https://global-ecosystems.org/explore/groups/T5.3					T5.3 Sclerophyll hot deserts and semi-deserts							
ELMO:3620122	Cool deserts and semi-deserts	ELMO:3620211		https://global-ecosystems.org/explore/groups/T5.4					T5.4 Cool deserts and semi-deserts							
ELMO:3620123	Hyper-arid deserts	ELMO:3620211		https://global-ecosystems.org/explore/groups/T5.5					T5.5 Hyper-arid deserts							
ELMO:3620124	Ice sheets, glaciers and perennial snowfields	ELMO:3620212		https://global-ecosystems.org/explore/groups/T6.1					T6.1 Ice sheets, glaciers and perennial snowfields							
ELMO:3620125	Polar/alpine cliffs, screes, outcrops and lava flows	ELMO:3620212		https://global-ecosystems.org/explore/groups/T6.2					T6.2 Polar/alpine cliffs, screes, outcrops and lava flows							
ELMO:3620126	Polar tundra and deserts	ELMO:3620212		https://global-ecosystems.org/explore/groups/T6.3					T6.3 Polar tundra and deserts							
ELMO:3620127	Temperate alpine grasslands and shrublands	ELMO:3620212		https://global-ecosystems.org/explore/groups/T6.4					T6.4 Temperate alpine grasslands and shrublands							
ELMO:3620128	Sown pastures and fields	ELMO:3620213		https://global-ecosystems.org/explore/groups/T7.2					T7.2 Sown pastures and fields							
ELMO:3620129	Plantations	ELMO:3620213		https://global-ecosystems.org/explore/groups/T7.3					T7.3 Plantations							
ELMO:3620130	Urban and industrial ecosystems	ELMO:3620213		https://global-ecosystems.org/explore/groups/T7.4					T7.4 Urban and industrial ecosystems							
ELMO:3620131	Derived semi-natural pastures and oldfields	ELMO:3620213		https://global-ecosystems.org/explore/groups/T7.5					T7.5 Derived semi-natural pastures and oldfields							
ELMO:3620132	Aerobic caves	ELMO:3620214		https://global-ecosystems.org/explore/groups/S1.1					S1.1 Aerobic caves							
ELMO:3620133	Endolithic systems	ELMO:3620214		https://global-ecosystems.org/explore/groups/S1.2					S1.2 Endolithic systems							
ELMO:3620134	Anthropogenic subterranean voids	ELMO:3620214		https://global-ecosystems.org/explore/groups/S2.1					S2.1 Anthropogenic subterranean voids							
ELMO:3620135	Underground streams and pools	ELMO:3620215		https://global-ecosystems.org/explore/groups/SF1.1					SF1.1 Underground streams and pools							
ELMO:3620136	Groundwater ecosystems	ELMO:3620215		https://global-ecosystems.org/explore/groups/SF1.2					SF1.2 Groundwater ecosystems							
ELMO:3620137	Water pipes and subterranean canals	ELMO:3620216		https://global-ecosystems.org/explore/groups/SF2.1					SF2.1 Water pipes and subterranean canals							
ELMO:3620138	Flooded mines and other voids	ELMO:3620216		https://global-ecosystems.org/explore/groups/SF2.2					SF2.2 Flooded mines and other voids							
ELMO:3620139	Subterranean tidal biome	ENVO:01001110	The subterranean tidal biome is a biome that includes coastal pools and subterranean voids with a partially or entirely submerged connection to marine waters where sunlight is absent or too dim to sustain photosynthesis.	https://global-ecosystems.org/explore/groups/SM1					SM1 Subterranean tidal biome							
ELMO:3620140	Anchialine caves	ELMO:3620139		https://global-ecosystems.org/explore/groups/SM1.1					SM1.1 Anchialine caves							
ELMO:3620141	Anchialine pools	ELMO:3620139		https://global-ecosystems.org/explore/groups/SM1.2					SM1.2 Anchialine pools							
ELMO:3620142	Sea caves	ELMO:3620139		https://global-ecosystems.org/explore/groups/SM1.3					SM1.3 Sea caves							
ELMO:3620143	Tropical flooded forests and peat forests	ELMO:3620217		https://global-ecosystems.org/explore/groups/TF1.1					TF1.1 Tropical flooded forests and peat forests							
ELMO:3620144	Subtropical/temperate forested wetlands	ELMO:3620217		https://global-ecosystems.org/explore/groups/TF1.2					TF1.2 Subtropical/temperate forested wetlands							
ELMO:3620145	Permanent marshes	ELMO:3620217		https://global-ecosystems.org/explore/groups/TF1.3					TF1.3 Permanent marshes							
ELMO:3620146	Seasonal floodplain marshes	ELMO:3620217		https://global-ecosystems.org/explore/groups/TF1.4					TF1.4 Seasonal floodplain marshes							
ELMO:3620147	Episodic arid floodplains	ELMO:3620217		https://global-ecosystems.org/explore/groups/TF1.5					TF1.5 Episodic arid floodplains							
ELMO:3620148	Boreal, temperate and montane peat bogs	ELMO:3620217		https://global-ecosystems.org/explore/groups/TF1.6					TF1.6 Boreal, temperate and montane peat bogs							
ELMO:3620149	Boreal and temperate fens	ELMO:3620217		https://global-ecosystems.org/explore/groups/TF1.7					TF1.7 Boreal and temperate fens							
ELMO:3620150	Permanent upland streams	ELMO:3620218		https://global-ecosystems.org/explore/groups/F1.1					F1.1 Permanent upland streams							
ELMO:3620151	Permanent lowland rivers	ELMO:3620218		https://global-ecosystems.org/explore/groups/F1.2					F1.2 Permanent lowland rivers							
ELMO:3620152	Freeze-thaw rivers and streams	ELMO:3620218		https://global-ecosystems.org/explore/groups/F1.3					F1.3 Freeze-thaw rivers and streams							
ELMO:3620153	Seasonal upland streams	ELMO:3620218		https://global-ecosystems.org/explore/groups/F1.4					F1.4 Seasonal upland streams							
ELMO:3620154	Seasonal lowland rivers	ELMO:3620218		https://global-ecosystems.org/explore/groups/F1.5					F1.5 Seasonal lowland rivers							
ELMO:3620155	Episodic arid rivers	ELMO:3620218		https://global-ecosystems.org/explore/groups/F1.6					F1.6 Episodic arid rivers							
ELMO:3620156	Large lowland rivers	ELMO:3620218		https://global-ecosystems.org/explore/groups/F1.7					F1.7 Large lowland rivers							
ELMO:3620157	Large permanent freshwater lakes	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.1					F2.1 Large permanent freshwater lakes							
ELMO:3620158	Small permanent freshwater lakes	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.2					F2.2 Small permanent freshwater lakes							
ELMO:3620159	Seasonal freshwater lakes	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.3					F2.3 Seasonal freshwater lakes							
ELMO:3620160	Freeze-thaw freshwater lakes	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.4					F2.4 Freeze-thaw freshwater lakes							
ELMO:3620161	Ephemeral freshwater lakes	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.5					F2.5 Ephemeral freshwater lakes							
ELMO:3620162	Permanent salt and soda lakes	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.6					F2.6 Permanent salt and soda lakes							
ELMO:3620163	Ephemeral salt lakes	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.7					F2.7 Ephemeral salt lakes							
ELMO:3620164	Artesian springs and oases	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.8					F2.8 Artesian springs and oases							
ELMO:3620165	Geothermal pools and wetlands	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.9					F2.9 Geothermal pools and wetlands							
ELMO:3620166	Subglacial lakes	ELMO:3620219		https://global-ecosystems.org/explore/groups/F2.10					F2.10 Subglacial lakes							
ELMO:3620167	Large reservoirs	ELMO:3620220		https://global-ecosystems.org/explore/groups/F3.1					F3.1 Large reservoirs							
ELMO:3620168	Rice paddies	ELMO:3620220		https://global-ecosystems.org/explore/groups/F3.3					F3.3 Rice paddies							
ELMO:3620169	Freshwater aquafarms	ELMO:3620220		https://global-ecosystems.org/explore/groups/F3.4					F3.4 Freshwater aquafarms							
ELMO:3620170	Canals, ditches and drains	ELMO:3620220		https://global-ecosystems.org/explore/groups/F3.5					F3.5 Canals, ditches and drains							
ELMO:3620171	Deepwater coastal inlets	ELMO:3620221		https://global-ecosystems.org/explore/groups/FM1.1					FM1.1 Deepwater coastal inlets							
ELMO:3620172	Permanently open riverine estuaries and bays	ELMO:3620221		https://global-ecosystems.org/explore/groups/FM1.2					FM1.2 Permanently open riverine estuaries and bays							
ELMO:3620173	Intermittently closed and open lakes and lagoons	ELMO:3620221		https://global-ecosystems.org/explore/groups/FM1.3					FM1.3 Intermittently closed and open lakes and lagoons							
ELMO:3620174	Seagrass meadows	ELMO:3620222		https://global-ecosystems.org/explore/groups/M1.1					M1.1 Seagrass meadows							
ELMO:3620175	Kelp forests	ELMO:3620222		https://global-ecosystems.org/explore/groups/M1.2					M1.2 Kelp forests							
ELMO:3620176	Photic coral reefs	ELMO:3620222		https://global-ecosystems.org/explore/groups/M1.3					M1.3 Photic coral reefs							
ELMO:3620177	Shellfish beds and reefs	ELMO:3620222		https://global-ecosystems.org/explore/groups/M1.4					M1.4 Shellfish beds and reefs							
ELMO:3620178	Photo-limited marine animal forests	ELMO:3620222		https://global-ecosystems.org/explore/groups/M1.5					M1.5 Photo-limited marine animal forests							
ELMO:3620179	Subtidal rocky reefs	ELMO:3620222		https://global-ecosystems.org/explore/groups/M1.6					M1.6 Subtidal rocky reefs							
ELMO:3620180	Subtidal sand beds	ELMO:3620222		https://global-ecosystems.org/explore/groups/M1.7					M1.7 Subtidal sand beds							
